Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
468411,30338,735331,30,0,0,5.0,1,12000.0,0,0,0,0,735676,1,736619,735722,1,1,0,0,1,0.0,0.0,0,88013.0,58048.0,2171.0,23344.0,4451.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,4,8,25,1,18,15
480280,30024,735388,30,0,0,253.0,1,12000.0,0,0,0,0,720624,1,736619,735722,1,1,0,0,0,0.0,0.0,0,60632.0,35253.0,6076.0,17180.0,2124.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,1,8,25,2,18,15
534852,30342,735353,30,0,0,409.0,1,12000.0,0,0,0,0,735661,1,736619,735722,1,1,0,0,0,0.0,0.0,0,19530.0,12530.0,835.0,4839.0,1327.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,1,8,25,1,18,15
557859,30096,736546,30,0,0,2500.0,0,600.0,0,0,1,0,720624,0,720624,736248,0,0,0,1,0,3.0,5817.03,0,89696.0,82514.0,22.0,5428.0,1731.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,10,6,13,0,2,1,0,1,23,107,1,6,7,25,3,18,15
595225,30076,735339,30,0,0,367.0,1,12000.0,0,0,0,0,735676,1,736619,735722,1,1,0,0,0,0.0,0.0,0,121048.0,78148.0,10523.0,30383.0,1994.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,4,8,25,2,18,15
624057,30084,736199,30,0,0,2000.0,1,1200.0,0,0,1,0,736227,1,720624,736233,0,0,0,0,0,0.0,0.0,0,361248.0,347952.0,221.0,4788.0,8287.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,10,6,13,0,2,0,1,6,6,107,0,6,8,25,2,18,15
648513,30107,734128,30,1,1,0.0,1,1200.0,1,1,0,0,735327,1,736627,735335,1,1,0,1,0,1.0,208.71,0,255202.0,193996.0,5252.0,46466.0,9488.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,10,2,13,0,2,1,0,2,5,107,1,2,7,25,1,18,15
668218,30531,736076,30,0,0,544.0,1,1200.0,0,0,0,0,736160,1,736572,736191,0,1,0,0,0,0.0,0.0,0,252705.0,175276.0,6063.0,62760.0,8606.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,0,1,23,107,0,1,8,25,1,18,15
975317,90301,734825,30,1,1,0.0,1,1200.0,0,0,0,1,735563,0,720624,720624,1,0,0,0,0,0.0,0.0,0,233750.0,177082.0,2439.0,50532.0,3698.0,1,1,-52616.0,67181.0,2721.0,44000.0,0.15684080030304073,625339.29,457.0,9174.0,733.0,0.9260119107701625,0,0,1,1,4,2,12,0,3,0,17,36,23,120,0,0,8,185,1,6,1
696347,30308,733699,30,0,1,0.0,1,12000.0,0,0,0,0,720624,1,736619,735722,1,1,0,0,0,0.0,0.0,0,334818.0,301597.0,1453.0,25113.0,6655.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,10,2,13,1,2,0,17,36,23,107,0,1,8,25,0,18,15
