Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
42863,15,3540.0,97,71,43,1,1200.0
784758,15,198761.0,68,105,9,37,1200.0
216069,15,153448.0,84,101,24,37,0.0
774204,15,14742.0,107,15,43,37,0.0
920136,15,115507.0,6,8,22,36,1200.0
221032,15,109275.0,2,84,31,20,1066.0
763438,1,203821.0,102,23,1,1,0.0
426683,15,150623.0,36,72,35,4,0.0
871057,15,174569.0,122,65,29,36,16598.0
162026,15,104814.0,195,117,33,40,3600.0
808298,15,117851.0,60,94,10,1,1200.0
425708,15,67582.0,173,82,26,39,538.0
415412,3,225898.0,126,109,17,7,1200.0
650092,1,64959.0,142,37,2,37,1200.0
357154,1,121880.0,104,31,24,41,0.0
127758,15,83427.0,49,32,9,0,0.0
564118,15,329896.0,177,90,44,39,1200.0
579883,15,103518.0,2,19,31,20,1200.0
54882,15,271958.0,15,113,34,37,3080.0
367551,15,264161.0,6,119,22,36,1200.0
328314,0,112518.0,100,87,36,39,1180.0
763004,15,198623.0,143,13,1,2,1100.0
784908,15,322179.0,25,23,10,2,1200.0
436000,15,67939.0,163,86,50,38,1200.0
42809,15,165063.0,121,40,43,1,1200.0
746205,15,68628.0,14,108,22,22,1080.0
23834,15,111633.0,35,116,9,23,0.0
587600,15,733256.0,185,120,4,36,0.0
460023,15,1220752.0,187,47,4,39,0.0
37356,15,160719.0,42,75,17,22,1200.0
39644,3,224823.0,62,112,49,39,0.0
377962,15,117831.0,185,39,4,36,1000.0
167809,1,402871.0,12,122,49,22,0.0
761086,15,492809.0,140,23,1,1,1200.0
683277,15,158805.0,34,11,6,34,1190.0
37259,15,466626.0,150,60,14,38,1162.0
752112,1,216968.0,90,56,36,39,0.0
163851,1,370411.0,198,69,4,39,200.0
712113,15,23345.0,88,88,14,27,906.0
559185,15,16366.0,120,122,36,51,1200.0
318761,15,111074.0,67,12,40,1,0.0
646879,15,41059.0,6,8,22,22,0.0
33597,15,250715.0,190,67,37,39,0.0
767688,15,110608.0,140,35,1,1,1200.0
94045,1,296859.0,56,73,42,1,1125.0
23983,15,54278.0,126,37,42,1,3365.0
638229,15,73490.0,185,97,4,38,2200.0
835655,15,118248.0,125,62,48,37,0.0
294825,1,118013.0,138,89,9,2,3315.0
552525,15,530957.0,2,92,34,25,1200.0
308064,15,277442.0,25,93,10,2,1200.0
24828,2,138.0,197,85,4,39,1200.0
557086,15,186661.0,185,27,4,39,400.0
