,Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
4116,194639,732288,1,0.0,1,4469.0,1,1,0,1,735432,1,736626,735285,1,1,1,0,0,0.0,0.0,1,80727.0,0,0,1,1,0,5,2,7,0,3,0,38,55,0,3,3,164,0,0
4117,417076,735948,0,2500.0,1,750.0,1,1,0,0,736313,1,720624,735578,0,1,0,0,0,0.0,0.0,0,175279.0,5,0,0,0,0,17,4,16,0,0,0,7,106,0,4,2,62,1,15
4118,417131,735846,0,2262.0,0,0.0,0,0,0,0,736551,1,736619,735582,0,0,0,1,0,1.0,68.81,0,152920.0,5,4,0,0,0,17,4,16,0,0,0,7,106,0,6,8,62,3,15
4119,217968,732524,1,2500.0,1,502.0,1,1,0,1,735572,1,736285,735589,1,1,0,0,0,0.0,0.0,1,151025.0,5,0,1,0,0,5,2,7,0,3,0,37,55,0,4,2,163,0,3
4120,249946,732585,1,0.0,1,1063.0,1,1,0,1,735318,1,736529,735335,1,1,0,1,0,3.0,1329.76,0,478018.0,0,0,2,1,0,5,2,7,0,3,16,37,55,4,3,7,164,1,1
4121,418955,735893,0,2500.0,1,0.0,0,0,0,0,736579,1,736605,735624,0,0,0,0,0,0.0,0.0,0,342516.0,5,4,0,0,0,17,4,16,0,0,0,7,106,0,6,8,42,3,15
4122,419063,735845,0,2500.0,1,1200.0,0,0,0,0,736157,1,736306,735582,0,1,0,0,0,0.0,0.0,0,145795.0,5,0,0,0,0,17,4,16,0,0,0,7,106,0,1,2,62,2,15
4123,421423,735850,0,1925.0,1,0.0,0,0,0,0,736208,1,736597,735578,0,1,0,1,0,5.0,2520.5,0,764247.0,5,0,0,0,0,17,2,16,0,0,0,4,106,0,2,2,56,3,15
4124,332758,735878,1,2500.0,1,1002.0,1,1,0,1,735920,1,736564,735925,1,1,0,1,0,5.0,166.62,0,208000.0,5,3,0,0,0,5,2,7,0,3,9,37,55,4,3,7,163,2,0
4125,422872,735866,0,2500.0,1,0.0,0,0,0,0,736326,1,736625,735571,0,0,0,0,0,0.0,0.0,0,212172.0,5,4,0,0,0,17,4,16,0,0,0,7,106,0,6,3,42,3,15
