,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
3789,15,123381.0,102,99,1,1,1200.0
3667,15,126315.0,28,96,15,1,1150.0
3102,15,40749.0,2,84,31,20,1200.0
570,15,148022.0,143,13,1,2,1100.0
2189,1,146356.0,47,12,40,1,646.0
4618,15,49131.0,159,24,11,38,0.0
355,3,91127.0,154,10,41,39,0.0
4681,15,98575.0,185,118,4,36,0.0
2809,15,66311.0,56,73,42,2,1200.0
2906,15,327650.0,42,75,17,7,994.0
177,0,88039.0,153,10,28,38,0.0
1382,15,696270.0,13,36,20,23,1200.0
2734,15,579268.0,97,71,43,36,0.0
2238,15,215370.0,29,58,9,1,0.0
2945,15,122240.0,140,77,1,1,0.0
3969,15,176205.0,12,103,20,27,1200.0
816,15,81816.0,126,21,42,1,0.0
2209,15,314529.0,108,57,43,1,6000.0
3115,15,217731.0,2,84,31,25,400.0
2274,15,153710.0,181,59,32,39,431.0
4691,15,41125.0,185,118,4,36,400.0
140,15,283953.0,7,5,19,37,1200.0
1978,15,149689.0,5,52,38,39,1200.0
1013,15,72255.0,185,27,4,36,1200.0
3957,15,53621.0,72,103,8,23,0.0
3726,15,10921.0,138,98,1,1,1200.0
3421,15,96291.0,101,91,18,37,1113.0
2628,15,1207225.0,37,70,38,37,0.0
4561,15,125212.0,177,122,44,56,342.0
4366,15,135048.0,2,111,31,20,1200.0
2592,15,91616.0,198,69,4,38,690.0
2460,1,449816.0,140,23,1,1,584.0
5,10,244046.0,51,2,22,22,2415.0
1938,15,405756.0,47,51,40,2,840.0
274,15,121381.0,6,8,22,36,0.0
3639,15,170809.0,128,95,43,38,1200.0
285,15,101262.0,6,8,22,36,1200.0
1899,15,103693.0,165,50,3,36,0.0
2095,15,121011.0,135,54,16,38,0.0
746,15,20288.0,154,18,12,16,400.0
4759,15,109429.0,6,119,22,36,1200.0
3323,15,34299.0,60,89,9,1,800.0
1855,1,306115.0,34,11,6,39,1200.0
2145,15,10419.0,163,55,5,38,0.0
407,15,150033.0,154,10,41,38,1095.0
10,15,266927.0,48,2,35,36,1200.0
3487,15,60085.0,2,92,34,36,1000.0
923,15,648279.0,140,23,1,2,1200.0
4194,15,60359.0,41,108,22,37,1200.0
3690,15,274943.0,28,96,15,37,1200.0
1104,15,124619.0,97,30,0,37,0.0
3814,15,70778.0,55,100,45,1,1200.0
2335,15,88895.0,118,60,14,38,20164.0
2525,1,64959.0,142,37,2,37,1200.0
4008,15,139912.0,130,104,2,1,1200.0
4141,15,103935.0,25,107,10,1,0.0
2868,4,105729.0,135,54,16,37,0.0
1331,15,117027.0,102,35,1,1,2400.0
108,15,98664.0,185,4,4,36,1200.0
4476,15,193053.0,168,114,26,36,1200.0
2566,15,157130.0,114,68,18,1,0.0
4311,15,235489.0,134,110,48,39,3600.0
3687,15,182920.0,16,96,35,1,1200.0
4540,15,46840.0,35,116,9,1,0.0
2547,15,148554.0,190,67,37,39,1200.0
546,15,120075.0,67,12,40,1,1200.0
3379,15,179331.0,177,90,44,39,1200.0
1566,15,8297.0,185,39,4,36,0.0
2270,1,282983.0,86,13,1,2,1200.0
2094,15,126834.0,85,54,16,38,1070.0
3479,15,86400.0,2,92,34,21,1190.0
2789,15,110349.0,57,72,35,1,95.0
629,15,82848.0,107,15,43,1,1200.0
2918,15,54635.0,102,77,1,1,2400.0
4031,15,6175.0,68,105,9,12,0.0
3774,15,342730.0,102,99,1,2,112.0
318,15,33979.0,6,8,22,36,1000.0
3011,15,27918.0,177,79,44,38,1200.0
1054,15,90396.0,142,28,2,1,1000.0
1774,15,115477.0,137,45,12,1,1200.0
544,2,501316.0,92,31,16,39,1200.0
1396,15,391646.0,13,36,20,23,1040.0
4575,0,141165.0,200,115,47,36,1200.0
2373,15,144929.0,6,61,22,12,0.0
1006,15,462595.0,5,26,38,34,1200.0
3619,15,10353.0,128,95,43,1,1046.0
1416,15,172428.0,111,37,42,1,1125.0
1891,3,101458.0,2,52,34,21,0.0
2953,15,408752.0,140,77,1,2,124.0
4318,2,138.0,197,85,4,39,1200.0
3612,15,241076.0,26,94,10,1,1011.0
2609,15,27966.0,198,69,4,52,0.0
4218,15,10992.0,61,108,22,38,3215.0
66,15,452055.0,9,3,38,36,702.0
2340,15,274162.0,74,60,15,1,1003.0
1844,15,28868.0,2,48,34,21,1200.0
2092,15,373945.0,135,54,16,38,1200.0
3815,15,184217.0,12,100,7,22,600.0
264,15,44483.0,6,8,22,36,1200.0
2217,2,162045.0,67,12,40,11,1200.0
4449,15,91683.0,17,113,38,38,1200.0
804,15,120875.0,6,20,22,27,0.0
2408,15,151417.0,7,63,19,37,3600.0
4680,15,22992.0,185,118,4,1,1200.0
3018,15,224994.0,177,79,44,39,1200.0
2539,15,306139.0,91,66,23,37,200.0
3239,1,118013.0,138,89,9,2,3315.0
265,15,167275.0,6,8,22,36,800.0
4245,15,150248.0,30,109,17,22,0.0
2969,15,63532.0,104,78,17,7,1200.0
2301,3,59663.0,23,13,1,1,1200.0
1559,15,49295.0,185,39,4,36,1200.0
1029,15,294638.0,182,27,4,37,1190.0
1479,15,242024.0,102,38,1,1,0.0
1923,15,224273.0,47,51,40,1,1200.0
1030,15,80445.0,182,27,4,36,0.0
517,1,121880.0,104,31,24,41,0.0
3063,15,155334.0,191,83,47,39,1200.0
944,15,827344.0,18,25,27,11,2400.0
328,15,56473.0,6,8,22,36,1200.0
4834,15,265871.0,12,121,49,22,944.0
4084,15,60526.0,40,105,9,1,1000.0
3514,15,73127.0,71,93,10,2,1039.0
676,15,117699.0,113,15,43,39,1000.0
3825,15,135312.0,12,100,7,27,1200.0
3349,15,89144.0,60,89,9,1,1200.0
143,15,4169.0,7,5,19,37,1200.0
4584,1,179778.0,196,0,4,38,1190.0
1478,15,109704.0,102,38,1,1,1200.0
2160,1,90795.0,94,7,43,1,0.0
1667,15,202961.0,197,42,4,36,1146.0
1497,15,324309.0,102,38,1,1,28.0
2180,15,78708.0,120,56,36,39,1025.0
1803,15,187006.0,12,46,45,22,1200.0
252,15,270381.0,6,8,22,36,0.0
743,15,141873.0,98,18,12,36,0.0
4433,15,357569.0,15,113,34,37,988.0
718,15,177034.0,191,17,47,39,1200.0
4415,15,87477.0,62,112,49,7,1200.0
635,3,236493.0,87,41,24,2,10194.0
4386,15,342481.0,2,111,34,20,0.0
1742,15,196283.0,26,44,10,2,1200.0
3584,15,121445.0,26,94,10,2,1200.0
1073,15,95998.0,2,29,31,20,1200.0
1166,3,234990.0,36,72,35,37,1200.0
3015,15,26988.0,177,79,44,37,859.0
3486,15,355995.0,2,92,34,25,1200.0
450,15,133444.0,2,11,34,26,2270.0
1679,1,56792.0,126,109,17,22,0.0
2612,1,299803.0,105,40,43,37,0.0
1285,15,13418.0,29,32,9,1,1166.0
3737,15,145257.0,138,98,1,1,1200.0
4605,2,133285.0,185,122,4,48,0.0
3254,15,1998302.0,82,88,14,39,2400.0
2205,15,479161.0,162,57,43,38,1021.0
4656,15,198653.0,177,122,44,56,342.0
1214,15,375714.0,68,32,9,1,0.0
1211,15,78111.0,29,32,9,55,0.0
2409,15,111650.0,7,63,19,37,3600.0
2742,15,126084.0,97,71,43,1,1200.0
2063,15,83842.0,135,54,16,38,1200.0
121,15,14913.0,185,4,4,37,90.0
3228,15,176805.0,100,87,36,39,1200.0
618,15,62607.0,96,14,18,12,1200.0
525,15,212489.0,20,12,40,1,800.0
4827,15,170311.0,13,121,20,22,0.0
233,15,154921.0,94,7,43,2,1400.0
3401,3,237542.0,26,94,10,2,785.0
1795,15,80409.0,69,46,45,22,1200.0
3754,15,519222.0,138,98,1,1,0.0
3203,3,172847.0,100,87,36,39,0.0
2192,15,110745.0,100,56,36,34,0.0
2817,15,174888.0,32,73,42,6,0.0
1210,15,627361.0,29,32,9,55,0.0
1272,15,48381.0,49,32,9,1,0.0
1592,15,110819.0,106,40,43,38,0.0
1168,15,329060.0,95,31,24,1,400.0
2765,15,113839.0,57,72,35,33,1037.0
4441,0,200844.0,177,90,13,39,941.0
1799,3,912304.0,27,9,34,38,1200.0
4197,15,101261.0,14,108,22,36,11392.0
1501,15,318258.0,102,38,1,1,1200.0
1056,15,52557.0,142,28,2,38,1200.0
3695,15,306781.0,185,97,4,38,1200.0
1907,15,60619.0,165,50,3,36,0.0
1674,15,102006.0,199,42,4,38,960.0
3775,15,95636.0,102,99,1,1,1144.0
3339,15,221559.0,123,89,9,36,2400.0
4406,3,90946.0,197,85,4,39,0.0
3031,15,285160.0,107,81,43,1,2390.0
4169,15,60632.0,25,107,10,36,12000.0
973,15,396097.0,65,25,27,2,0.0
3645,15,93060.0,128,95,43,15,1200.0
300,15,26874.0,6,8,22,36,1200.0
2113,1,111398.0,17,113,38,36,2780.0
2697,15,90721.0,97,71,43,1,1200.0
488,15,177533.0,2,11,34,20,2842.0
3192,15,157910.0,163,86,5,39,0.0
4282,15,150908.0,30,109,17,1,1890.0
671,15,178109.0,107,15,43,39,1200.0
4462,15,232422.0,15,113,34,36,1200.0
2313,1,335124.0,149,14,18,1,0.0
2148,15,96882.0,163,55,5,37,0.0
276,15,92411.0,6,8,22,36,1200.0
1706,15,84362.0,31,44,10,1,1200.0
963,15,716922.0,19,25,27,1,648.0
4751,15,24804.0,6,119,22,37,1200.0
2031,15,162194.0,9,53,38,35,6000.0
858,1,64423.0,134,49,23,37,0.0
1604,15,164781.0,106,40,43,37,1174.0
1357,15,77507.0,140,35,1,1,1200.0
1294,15,124641.0,29,32,9,1,1200.0
1694,15,46916.0,3,43,34,37,1200.0
4113,1,75377.0,164,55,5,37,1200.0
2459,15,195434.0,112,64,42,6,1200.0
1759,15,141897.0,122,45,12,38,2600.0
1867,1,429590.0,13,36,20,27,0.0
2117,2,727319.0,15,113,34,34,1200.0
2058,15,193081.0,135,54,16,39,1200.0
2526,15,294841.0,144,66,23,34,1200.0
1609,15,94688.0,106,40,36,34,1200.0
2715,15,52361.0,97,71,43,51,1200.0
389,15,231320.0,153,10,28,38,1000.0
1583,15,121973.0,106,40,43,38,1200.0
2824,15,125299.0,71,73,42,2,800.0
2683,15,237100.0,97,71,43,51,1190.0
4196,15,29900.0,14,108,22,37,966.0
2933,15,303607.0,140,77,1,1,0.0
1275,15,8575.0,49,32,9,37,454.0
3888,15,38232.0,185,102,4,39,0.0
4244,15,210977.0,42,109,17,7,772.0
1880,15,119528.0,153,49,23,38,0.0
566,15,105293.0,138,13,1,2,1200.0
125,15,-1813.0,185,4,4,37,400.0
1230,15,76580.0,49,32,9,1,0.0
4356,15,148501.0,2,111,34,20,200.0
3650,15,72760.0,97,95,43,25,1200.0
1243,15,70890.0,68,32,9,37,0.0
1022,15,19865.0,182,27,4,38,1190.0
1135,15,82386.0,92,31,16,36,1200.0
2996,15,310898.0,177,79,44,38,0.0
2448,15,366535.0,112,64,25,1,501.0
1809,15,22329.0,187,47,4,34,0.0
875,15,157657.0,102,23,1,2,1200.0
1176,15,217713.0,49,32,9,1,1000.0
